playerid,yearid,teamid,ab
applilu01,1937,CHA,574
applilu01,1939,CHA,516
applilu01,1940,CHA,566
applilu01,1941,CHA,592
applilu01,1942,CHA,543
applilu01,1943,CHA,585
applilu01,1946,CHA,582
applilu01,1947,CHA,503
arciaor01,2017,MIL,506
arenano01,2015,COL,616
arenano01,2016,COL,618
arenano01,2017,COL,606
armasto01,1980,OAK,628
armasto01,1982,OAK,536
armasto01,1983,BOS,574
armasto01,1984,BOS,639
arnovmo01,1938,PHI,502
ashburi01,1949,PHI,662
ashburi01,1950,PHI,594
ashburi01,1951,PHI,643
ashburi01,1952,PHI,613
ashburi01,1953,PHI,622
ashburi01,1954,PHI,559
ashburi01,1955,PHI,533
ashburi01,1956,PHI,628
ashburi01,1957,PHI,626
ashburi01,1958,PHI,615
ashburi01,1959,PHI,564
ashburi01,1960,CHN,547
asprobo01,1962,HOU,534
asprobo01,1964,HOU,553
asprobo01,1965,HOU,578
asprobo01,1966,HOU,560
atkinga01,2005,COL,519
atkinga01,2006,COL,602
atkinga01,2007,COL,605
atkinga01,2008,COL,611
auerbri01,1972,ML4,554
aurilri01,1999,SFN,558
aurilri01,2000,SFN,509
aurilri01,2001,SFN,636
aurilri01,2002,SFN,538
aurilri01,2003,SFN,505
ausmubr01,2000,DET,523
austiji01,1911,SLA,541
austiji01,1912,SLA,536
averiea01,1929,CLE,597
averiea01,1930,CLE,534
averiea01,1931,CLE,627
averiea01,1932,CLE,631
averiea01,1933,CLE,599
averiea01,1934,CLE,598
averiea01,1935,CLE,563
averiea01,1936,CLE,614
averiea01,1937,CLE,609
avilabo01,1951,CLE,542
avilabo01,1952,CLE,597
avilabo01,1953,CLE,559
avilabo01,1954,CLE,555
avilabo01,1955,CLE,537
avilabo01,1956,CLE,513
avilemi01,2012,BOS,512
aybarer01,2009,LAA,504
aybarer01,2010,LAA,534
aybarer01,2011,LAA,556
aybarer01,2012,LAA,517
aybarer01,2013,LAA,550
aybarer01,2014,LAA,589
aybarer01,2015,LAA,597
babbch01,1904,BRO,521
backmwa01,1985,NYN,520
baergca01,1991,CLE,593
baergca01,1992,CLE,657
baergca01,1993,CLE,624
baergca01,1995,CLE,557
baergca01,1998,NYN,511
bagweje01,1991,HOU,554
bagweje01,1992,HOU,586
bagweje01,1993,HOU,535
bagweje01,1996,HOU,568
bagweje01,1997,HOU,566
bagweje01,1998,HOU,540
bagweje01,1999,HOU,562
bagweje01,2000,HOU,590
bagweje01,2001,HOU,600
bagweje01,2002,HOU,571
bagweje01,2003,HOU,605
bagweje01,2004,HOU,572
bailebo01,1963,PIT,570
bailebo01,1964,PIT,530
bailebo01,1965,PIT,626
bailebo01,1971,MON,545
bailebo01,1973,MON,513
bailebo01,1974,MON,507
bailobo01,1978,TOR,621
baineha01,1982,CHA,608
baineha01,1983,CHA,596
baineha01,1984,CHA,569
baineha01,1985,CHA,640
baineha01,1986,CHA,570
baineha01,1987,CHA,505
baineha01,1988,CHA,599
bairddo01,1915,PIT,512
bakerdu01,1973,ATL,604
bakerdu01,1974,ATL,574
bakerdu01,1977,LAN,533
bakerdu01,1978,LAN,522
bakerdu01,1979,LAN,554
bakerdu01,1980,LAN,579
bakerdu01,1982,LAN,570
bakerdu01,1983,LAN,531
bakerfr01,1909,PHA,541
bakerfr01,1910,PHA,561
bakerfr01,1911,PHA,592
bakerfr01,1912,PHA,577
bakerfr01,1913,PHA,564
bakerfr01,1914,PHA,570
bakerfr01,1917,NYA,553
bakerfr01,1918,NYA,504
bakerfr01,1919,NYA,567
bakerge02,1954,CHN,541
bakerge02,1955,CHN,609
bakerge02,1956,CHN,546
balbost01,1985,KCA,600
balbost01,1986,KCA,512
baldero01,2003,TBA,637
baldero01,2004,TBA,518
bancrda01,1915,PHI,563
bancrda01,1921,NY1,606
bancrda01,1922,NY1,651
bancrda01,1928,BRO,515
bandosa01,1968,OAK,605
bandosa01,1969,OAK,609
bandosa01,1970,OAK,502
bandosa01,1971,OAK,538
bandosa01,1972,OAK,535
bandosa01,1973,OAK,592
bandosa01,1975,OAK,562
bandosa01,1976,OAK,550
bandosa01,1977,ML4,580
bandosa01,1978,ML4,540
bankser01,1954,CHN,593
bankser01,1955,CHN,596
bankser01,1956,CHN,538
bankser01,1957,CHN,594
bankser01,1958,CHN,617
bankser01,1959,CHN,589
bankser01,1960,CHN,597
bankser01,1961,CHN,511
bankser01,1962,CHN,610
bankser01,1964,CHN,591
bankser01,1965,CHN,612
bankser01,1966,CHN,511
bankser01,1967,CHN,573
bankser01,1968,CHN,552
bankser01,1969,CHN,565
bannial01,1977,CHA,560
bannial01,1979,CHA,506
barbawa01,1921,BSN,550
barclge01,1902,SLN,543
barfije01,1985,TOR,539
barfije01,1986,TOR,589
barfije01,1987,TOR,590
barfijo02,2006,SDN,539
barmecl01,2009,COL,550
barneda01,2011,CHN,529
barneda01,2012,CHN,548
barneda01,2013,CHN,501
barnhcl01,1925,PIT,539
