playerid,yearid,teamid,ab
brockgr01,1987,ML4,532
brocklo01,1963,CHN,547
brocklo01,1965,SLN,631
brocklo01,1966,SLN,643
brocklo01,1967,SLN,689
brocklo01,1968,SLN,660
brocklo01,1969,SLN,655
brocklo01,1970,SLN,664
brocklo01,1971,SLN,640
brocklo01,1972,SLN,621
brocklo01,1973,SLN,650
brocklo01,1974,SLN,635
brocklo01,1975,SLN,528
brodist01,1890,BSN,514
brodist01,1891,BSN,523
brodist01,1892,SLN,602
brodist01,1894,BLN,573
brodist01,1895,BLN,528
brodist01,1896,BLN,516
brodist01,1899,BLN,531
brognri01,1997,PHI,543
brognri01,1998,PHI,565
brognri01,1999,PHI,619
brohaja01,1972,CLE,527
brookhu01,1983,NYN,586
brookhu01,1984,NYN,561
brookhu01,1985,MON,605
brookhu01,1988,MON,588
brookhu01,1989,MON,542
brookhu01,1990,LAN,568
brookto01,1980,DET,509
brosisc01,1998,NYA,530
broutda01,1888,DTN,522
broutda01,1892,BRO,588
broutda01,1894,BLN,525
browned02,1925,BRO,618
browned02,1926,BSN,612
browned02,1927,BSN,558
browned02,1928,BSN,523
brownem01,2005,KCA,545
brownem01,2006,KCA,527
brownge01,1903,NY1,591
brownge01,1904,NY1,596
brownge01,1905,NY1,536
brownge01,1908,BSN,536
brownje01,1989,CLE,598
brownje01,1990,CLE,513
brownji03,1937,SLN,525
brownji03,1939,SLN,645
brownji03,1941,SLN,549
brownji03,1942,SLN,606
brownol02,1969,SDN,568
brownol02,1970,SDN,534
brownpe01,1887,LS2,547
brownto01,1890,BSP,558
