namefirst,namelast,playerid,yearid
Freddie,Lindstrom,lindsfr01,1976
Pop,Lloyd,lloydpo99,1977
Ernie,Lombardi,lombaer01,1986
Al,Lopez,lopezal01,1977
Ted,Lyons,lyonste01,1955
Connie,Mack,mackco01,1937
Biz,Mackey,mackebi99,2006
Larry,MacPhail,macphla99,1978
Lee,MacPhail,macphle99,1998
Greg,Maddux,maddugr01,2014
Effa,Manley,manleef99,2006
Mickey,Mantle,mantlmi01,1974
Heinie,Manush,manushe01,1964
Rabbit,Maranville,maranra01,1954
Juan,Marichal,maricju01,1983
Rube,Marquard,marquru01,1971
Pedro,Martinez,martipe02,2015
Christy,Mathewson,mathech01,1936
Eddie,Mathews,matheed01,1978
Willie,Mays,mayswi01,1979
Bill,Mazeroski,mazerbi01,2001
Joe,McCarthy,mccarjo99,1957
Tommy,McCarthy,mccarto01,1946
Willie,McCovey,mccovwi01,1986
Joe,McGinnity,mcginjo01,1946
Bill,McGowan,mcgowbi99,1992
John,McGraw,mcgrajo01,1937
Bill,McKechnie,mckecbi01,1962
Bid,McPhee,mcphebi01,2000
Joe,Medwick,medwijo01,1968
Jose,Mendez,mendejo99,2006
Johnny,Mize,mizejo01,1981
Paul,Molitor,molitpa01,2004
Joe,Morgan,morgajo02,1990
Jack,Morris,morrija02,2018
Eddie,Murray,murraed02,2003
Stan,Musial,musiast01,1969
Hal,Newhouser,newhoha01,1992
Kid,Nichols,nichoki01,1949
Phil,Niekro,niekrph01,1997
Hank,O'Day,odayha01,2013
Walter,O'Malley,omallwa99,2008
Jim,O'Rourke,orourji01,1945
Mel,Ott,ottme01,1951
Satchel,Paige,paigesa01,1971
Jim,Palmer,palmeji01,1990
Herb,Pennock,pennohe01,1948
Tony,Perez,perezto01,2000
Gaylord,Perry,perryga01,1991
Mike,Piazza,piazzmi01,2016
Eddie,Plank,planked01,1946
Alex,Pompez,pompeal99,2006
Cum,Posey,poseycu99,2006
Kirby,Puckett,puckeki01,2001
Old Hoss,Radbourn,radboch01,1939
Tim,Raines,raineti01,2017
Pee Wee,Reese,reesepe01,1984
Jim,Rice,riceji01,2009
Sam,Rice,ricesa01,1963
Branch,Rickey,rickebr01,1967
Cal,Ripken,ripkeca01,2007
Eppa,Rixey,rixeyep01,1963
Phil,Rizzuto,rizzuph01,1994
Robin,Roberts,roberro01,1976
Brooks,Robinson,robinbr01,1983
Frank,Robinson,robinfr02,1982
Jackie,Robinson,robinja02,1962
Wilbert,Robinson,robinwi01,1945
Ivan,Rodriguez,rodriiv01,2017
Bullet,Rogan,roganbu99,1998
Edd,Roush,roushed01,1962
Red,Ruffing,ruffire01,1967
Jacob,Ruppert,ruperja99,2013
Amos,Rusie,rusieam01,1977
Babe,Ruth,ruthba01,1936
Nolan,Ryan,ryanno01,1999
Ryne,Sandberg,sandbry01,2005
Louis,Santop,santolo99,2006
Ron,Santo,santoro01,2012
Ray,Schalk,schalra01,1955
Mike,Schmidt,schmimi01,1995
Red,Schoendienst,schoere01,1989
John,Schuerholz,schurjo99,2017
Tom,Seaver,seaveto01,1992
Frank,Selee,seleefr99,1999
Bud,Selig,seligbu99,2017
Joe,Sewell,seweljo01,1977
Al,Simmons,simmoal01,1953
George,Sisler,sislege01,1939
Enos,Slaughter,slaugen01,1985
Hilton,Smith,smithhi99,2001
Ozzie,Smith,smithoz01,2002
John,Smoltz,smoltjo01,2015
Duke,Snider,snidedu01,1980
Billy,Southworth,southbi01,2008
Warren,Spahn,spahnwa01,1973
Al,Spalding,spaldal01,1939
Tris,Speaker,speaktr01,1937
Willie,Stargell,stargwi01,1988
Turkey,Stearnes,steartu99,2000
Casey,Stengel,stengca01,1966
Bruce,Sutter,suttebr01,2006
Mule,Suttles,suttlmu99,2006
Don,Sutton,suttodo01,1998
Ben,Taylor,taylobe99,2006
Bill,Terry,terrybi01,1954
Frank,Thomas,thomafr04,2014
Jim,Thome,thomeji01,2018
Sam,Thompson,thompsa01,1974
Joe,Tinker,tinkejo01,1946
Joe,Torre,torrejo01,2014
Cristobal,Torriente,torricr99,2006
Alan,Trammell,trammal01,2018
Pie,Traynor,traynpi01,1948
Dazzy,Vance,vanceda01,1955
Arky,Vaughan,vaughar01,1985
Bill,Veeck,veeckbi99,1991
Rube,Waddell,wadderu01,1946
Honus,Wagner,wagneho01,1936
Bobby,Wallace,wallabo01,1953
Ed,Walsh,walshed01,1946
Lloyd,Waner,wanerll01,1967
Paul,Waner,wanerpa01,1952
John,Ward,wardjo01,1964
Earl,Weaver,weaveea99,1996
George,Weiss,weissge99,1971
Mickey,Welch,welchmi01,1973
Willie,Wells,wellswi99,1997
Zack,Wheat,wheatza01,1959
Deacon,White,whitede01,2013
Sol,White,whiteso99,2006
Hoyt,Wilhelm,wilheho01,1985
J. L.,Wilkinson,wilkijl99,2006
Billy,Williams,willibi01,1987
Dick,Williams,willidi02,2008
Smokey Joe,Williams,willijo99,1999
Ted,Williams,willite01,1966
Vic,Willis,willivi01,1995
Hack,Wilson,wilsoha01,1979
Jud,Wilson,wilsoju99,2006
Dave,Winfield,winfida01,2001
George,Wright,wrighge01,1937
Harry,Wright,wrighha01,1953
Early,Wynn,wynnea01,1972
Carl,Yastrzemski,yastrca01,1989
Tom,Yawkey,yawketo99,1980
Cy,Young,youngcy01,1937
Ross,Youngs,youngro01,1972
Robin,Yount,yountro01,1999
