id,time,value,run,run_start,nextval,run_end,run_size,run_rank,interpolated
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 10:00:02+00:00,1.7230274441963545,137,1.7230274441963545,,1.7230274441963545,3,1,1.7230274441963545
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 10:15:00+00:00,,137,1.7230274441963545,,5.372979444921953,3,2,2.939678111104887
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 10:30:00+00:00,,137,1.7230274441963545,5.372979444921953,5.372979444921953,3,3,4.156328778013419
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 19:45:03+00:00,0.6144687255293491,174,0.6144687255293491,,0.6144687255293491,3,1,0.6144687255293491
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 20:00:00+00:00,,174,0.6144687255293491,,8.10343967255239,3,2,3.1107923745370294
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-08 20:15:00+00:00,,174,0.6144687255293491,8.10343967255239,8.10343967255239,3,3,5.60711602354471
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-09 01:00:03+00:00,2.196116776472188,193,2.196116776472188,,2.196116776472188,3,1,2.196116776472188
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-09 01:15:00+00:00,,193,2.196116776472188,,1.4019035586474615,3,2,1.931379037197279
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-09 01:30:00+00:00,,193,2.196116776472188,1.4019035586474615,1.4019035586474615,3,3,1.6666412979223701
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-10 05:00:02+00:00,4.692789500399002,304,4.692789500399002,,4.692789500399002,3,1,4.692789500399002
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-10 05:15:00+00:00,,304,4.692789500399002,,3.5282656732517736,3,2,4.304614891349925
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-10 05:30:00+00:00,,304,4.692789500399002,3.5282656732517736,3.5282656732517736,3,3,3.9164402823008495
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 02:30:03+00:00,2.073940626522095,389,2.073940626522095,,2.073940626522095,3,1,2.073940626522095
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 02:45:00+00:00,,389,2.073940626522095,,5.278850238740489,3,2,3.142243830594893
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 03:00:00+00:00,,389,2.073940626522095,5.278850238740489,5.278850238740489,3,3,4.210547034667691
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 10:00:01+00:00,3.79803967145687,417,3.79803967145687,,3.79803967145687,3,1,3.79803967145687
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 10:15:00+00:00,,417,3.79803967145687,,4.673310233569907,3,2,4.089796525494549
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-11 10:30:00+00:00,,417,3.79803967145687,4.673310233569907,4.673310233569907,3,3,4.381553379532228
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 03:00:02+00:00,0.4824042656116845,579,0.4824042656116845,,0.4824042656116845,4,1,0.4824042656116845
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 03:15:00+00:00,,579,0.4824042656116845,,6.597196736424209,4,2,2.0111023833148156
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 03:30:00+00:00,,579,0.4824042656116845,,6.597196736424209,4,3,3.5398005010179467
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 03:45:00+00:00,,579,0.4824042656116845,6.597196736424209,6.597196736424209,4,4,5.068498618721078
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 22:00:01+00:00,4.057104737591111,653,4.057104737591111,,4.057104737591111,3,1,4.057104737591111
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 22:15:00+00:00,,653,4.057104737591111,,9.291737964390876,3,2,5.801982479857699
a49cd747-43c3-536d-b3ee-ec9c087b9317,2018-06-13 22:30:00+00:00,,653,4.057104737591111,9.291737964390876,9.291737964390876,3,3,7.5468602221242875
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 01:30:00+00:00,70.96327848945333,6,70.96327848945333,,70.96327848945333,3,1,70.96327848945333
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 01:45:00+00:00,,6,70.96327848945333,,20.048982943647847,3,2,53.991846640851506
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 02:00:00+00:00,,6,70.96327848945333,20.048982943647847,20.048982943647847,3,3,37.020414792249674
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 03:00:00+00:00,2.9309233586066856,9,2.9309233586066856,,2.9309233586066856,44,1,2.9309233586066856
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 03:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,2,3.174353517738599
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 03:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,3,3.417783676870512
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 03:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,4,3.6612138360024256
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 04:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,5,3.9046439951343386
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 04:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,6,4.1480741542662525
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 04:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,7,4.3915043133981655
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 04:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,8,4.6349344725300785
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 05:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,9,4.8783646316619915
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 05:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,10,5.121794790793905
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 05:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,11,5.365224949925818
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 05:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,12,5.608655109057732
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 06:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,13,5.852085268189645
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 06:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,14,6.095515427321558
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 06:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,15,6.338945586453471
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 06:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,16,6.582375745585384
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 07:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,17,6.825805904717298
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 07:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,18,7.069236063849211
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 07:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,19,7.312666222981125
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 07:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,20,7.556096382113038
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 08:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,21,7.799526541244951
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 08:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,22,8.042956700376866
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 08:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,23,8.286386859508777
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 08:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,24,8.529817018640692
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 09:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,25,8.773247177772605
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 09:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,26,9.016677336904518
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 09:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,27,9.260107496036431
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 09:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,28,9.503537655168344
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 10:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,29,9.746967814300259
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 10:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,30,9.99039797343217
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 10:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,31,10.233828132564085
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 10:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,32,10.477258291695998
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 11:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,33,10.720688450827911
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 11:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,34,10.964118609959824
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 11:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,35,11.207548769091737
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 11:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,36,11.45097892822365
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 12:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,37,11.694409087355565
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 12:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,38,11.937839246487478
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 12:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,39,12.18126940561939
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 12:45:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,40,12.424699564751304
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 13:00:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,41,12.668129723883217
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 13:15:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,42,12.91155988301513
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 13:30:00+00:00,,9,2.9309233586066856,,13.64185036041087,44,43,13.154990042147045
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 13:45:00+00:00,,9,2.9309233586066856,13.64185036041087,13.64185036041087,44,44,13.398420201278958
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 14:15:00+00:00,22.293190722507198,11,22.293190722507198,,22.293190722507198,21,1,22.293190722507198
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 14:30:00+00:00,,11,22.293190722507198,,5.053218437714945,21,2,21.472239661326615
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 14:45:00+00:00,,11,22.293190722507198,,5.053218437714945,21,3,20.65128860014603
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 15:00:00+00:00,,11,22.293190722507198,,5.053218437714945,21,4,19.83033753896545
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 15:15:00+00:00,,11,22.293190722507198,,5.053218437714945,21,5,19.009386477784865
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 15:30:00+00:00,,11,22.293190722507198,,5.053218437714945,21,6,18.188435416604282
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 15:45:00+00:00,,11,22.293190722507198,,5.053218437714945,21,7,17.3674843554237
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 16:00:00+00:00,,11,22.293190722507198,,5.053218437714945,21,8,16.546533294243112
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 16:15:00+00:00,,11,22.293190722507198,,5.053218437714945,21,9,15.72558223306253
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 16:30:00+00:00,,11,22.293190722507198,,5.053218437714945,21,10,14.904631171881947
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 16:45:00+00:00,,11,22.293190722507198,,5.053218437714945,21,11,14.083680110701364
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 17:00:00+00:00,,11,22.293190722507198,,5.053218437714945,21,12,13.26272904952078
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 17:15:00+00:00,,11,22.293190722507198,,5.053218437714945,21,13,12.441777988340196
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 17:30:00+00:00,,11,22.293190722507198,,5.053218437714945,21,14,11.620826927159612
a51d3bed-a8b6-5321-96a1-c5542caca70c,2018-06-07 17:45:00+00:00,,11,22.293190722507198,,5.053218437714945,21,15,10.799875865979029
