time,id,value
2018-06-07 00:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65085.99
2018-06-07 00:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65086.16
2018-06-07 00:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65086.35
2018-06-07 00:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65086.52
2018-06-07 01:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65086.71
2018-06-07 01:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65086.89
2018-06-07 01:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.07
2018-06-07 01:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.25
2018-06-07 02:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.43
2018-06-07 02:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.62
2018-06-07 02:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.8
2018-06-07 02:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65087.98
2018-06-07 03:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.15
2018-06-07 03:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.34
2018-06-07 03:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.52
2018-06-07 03:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.64
2018-06-07 04:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.76
2018-06-07 04:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65088.89
2018-06-07 04:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.01
2018-06-07 04:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.14
2018-06-07 05:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.26
2018-06-07 05:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.38
2018-06-07 05:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.5
2018-06-07 05:45:10+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.62
2018-06-07 06:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.76
2018-06-07 06:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.88
2018-06-07 06:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65089.99
2018-06-07 06:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.11
2018-06-07 07:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.25
2018-06-07 07:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.38
2018-06-07 07:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.49
2018-06-07 07:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.61
2018-06-07 08:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.74
2018-06-07 08:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.86
2018-06-07 08:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65090.99
2018-06-07 08:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.11
2018-06-07 09:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.24
2018-06-07 09:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.36
2018-06-07 09:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.48
2018-06-07 09:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.62
2018-06-07 10:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.74
